site,collection,date,type,name,population,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage,height of lowest ear (cm),rowlength,totalplantcount,totalstoverbiomass_wet_g,totalearcount,totalearbiomass_wet_g,subsample_specs,stover_wet_withbag_g,stover_wet_g,stover_bagtare_g,stover_dry_g,stover_Ncontent_percent,grain_wet_g,grain_dry_g,grain_Ncontent_percent,grain_moisturePercent_atharvest,grain_testweight_lbbu_atharvest,grain_moisturePercent_afterdryer,grain_testweight_lbbu_afterdryer,grain_moisturePercent_afterdryerandaspiration,grain_testweight_lbbu_afterdryerandaspiration,notes
st paul,growth monitoring,8/20/2025,,check normal stature,,201,212,11,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr106-21ssc,,202,201,10,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,PR106-20ssc,,203,211,12,,3,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr105-20ssc,,204,254,14,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,206-47vt4prib,,205,267,12,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc101-33rib,,206,259,14,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc098-88rib,,207,258,14,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,check normal stature,,301,204,11,,7,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr106-21ssc,,302,208,10,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,PR106-20ssc,,303,206,13,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr105-20ssc,,304,280,11,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,206-47vt4prib,,305,257,12,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc101-33rib,,306,254,13,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc098-88rib,,307,224,14,,5,,,R3,,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,harvest,10/22/2025,short,PR106-20ssc,,SW,,,,,,,,,,10,3072,11,3326,"5 ears, 3 plants for stover",1044,869.4,174.6,,,1772,,,,,,,,,
rosemount-R22,harvest,10/22/2025,short,PR106-20ssc,,NW,,,,,,,,,,12,3704,11,3330,"5 ears, 3 plants for stover",3330,3155,175,,,1724,,,,,,,,,
rosemount-R22,harvest,10/22/2025,short,PR106-20ssc,,NE,,,,,,,,,,13,2290,13,2078,"5 ears, 3 plants for stover",2078,1901.4,176.6,,,818,,,,,,,,,
rosemount-R22,harvest,10/22/2025,short,PR106-20ssc,,SE,,,,,,,,,,13,2846,13,2282,"5 ears, 3 plants for stover",2282,,na,,,848,,,,,,,,,
rosemount-R34,harvest,10/22/2025,conventional,PR108-20RIB,,NW,,,,,,,,,,12,1068,12,2100,"5 ears, 3 plants for stover",2100,1951,149,,,892,,,,,,,,,
rosemount-R34,harvest,10/22/2025,conventional,PR108-20RIB,,SW,,,,,,,,,,11,1736,11,2166,"5 ears, 3 plants for stover",2166,2008,158,,,1134,,,,,,,,,
rosemount-R34,harvest,10/22/2025,conventional,PR108-20RIB,,SE,,,,,,,,,,10,1154,10,1890,"5 ears, 3 plants for stover",1890,1745,145,,,1000,,,,,,,,,
rosemount-R34,harvest,10/22/2025,conventional,PR108-20RIB,,NE,,,,,,,,,,14,1344,15,2442,"5 ears, 3 plants for stover",2442,2291,151,,,868,,,,,,,,,
rosemount-R34,growth monitoring,10/31/2025,,PR108-20RIB,,NE,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,10/31/2025,,PR108-20RIB,,SE,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,10/31/2025,,PR108-20RIB,,SW,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,10/31/2025,,PR108-20RIB,,NW,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,10/31/2025,,PR106-20ssc,,SW,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,10/31/2025,,PR106-20ssc,,SE,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,10/31/2025,,PR106-20ssc,,NE,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,10/31/2025,,PR106-20ssc,,NW,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,8/14/2025,,PR108-20RIB,,NE,197,11,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,8/14/2025,,PR108-20RIB,,SE,179,10,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,8/14/2025,,PR108-20RIB,,SW,196,9,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R34,growth monitoring,8/14/2025,,PR108-20RIB,,NW,208,11,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,8/14/2025,,PR106-20ssc,,SW,240,14,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,8/14/2025,,PR106-20ssc,,SE,210,13,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,8/14/2025,,PR106-20ssc,,NE,213,13,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
rosemount-R22,growth monitoring,8/14/2025,,PR106-20ssc,,NW,216,13,,,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,check normal stature,,101,216,,,,,,R6,98,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr106-21ssc,,102,206,,,,,,R6,85,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,PR106-20ssc,,103,203,,,,,,R6,64,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr105-20ssc,,104,283,,,,,,R5,128,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,206-47vt4prib,,105,247,,,,,,R6,125,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc101-33rib,,106,345,,,,,,R6,167,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc098-88rib,,107,283,,,,,,R6,210,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,check normal stature,,201,200,,,,,,R6,75,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr106-21ssc,,202,199,,,,,,R5,67,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,PR106-20ssc,,203,206,,,,,,R5,76,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr105-20ssc,,204,264,,,,,,R5,127,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,206-47vt4prib,,205,280,,,,,,R5,136,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc101-33rib,,206,262,,,,,,R6,124,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc098-88rib,,207,262,,,,,,R6,115,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,check normal stature,,301,207,,,,,,R6,69,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr106-21ssc,,302,211,,,,,,R6,88,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,PR106-20ssc,,303,203,,,,,,R6,66,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Pr105-20ssc,,304,282,,,,,,R6,129,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,206-47vt4prib,,305,279,,,,,,R6,123,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc101-33rib,,306,261,,,,,,R6,119,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/13/2025,,Dkc098-88rib,,307,263,,,,,,R5,118,,,,,,,,,,,,,,,,,,,,,
st paul,harvest,10/21/2025,conventional,check normal stature,,101,,,,,,,,,,15,4.412,9,2326,,1094,,,,,1426,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr106-21ssc,,102,,,,,,,,,,14,5.258,13,3108,,814,,,,,1108,,,,,,,,,
st paul,harvest,10/21/2025,short,PR106-20ssc,,103,,,,,,,,,,16,4.132,13,1742,,916,,,,,784,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr105-20ssc,,104,,,,,,,,,,19,5.414,16,2588,,1142,,,,,884,,,,,,,,,
st paul,harvest,10/21/2025,tall,206-47vt4prib,,105,,,,,,,,,,20,3.372,15,2702,,1356,,,,,904,,,,,,,,,
st paul,harvest,10/21/2025,medium,Dkc101-33rib,,106,,,,,,,,,,16,4.222,14,2408,,1120,,,,,832,,,,,,,,,
st paul,harvest,10/21/2025,medium short,Dkc098-88rib,,107,,,,,,,,,,11,4.714,9,2050,,1136,,,,,1084,,,,,,,,,
st paul,harvest,10/21/2025,conventional,check normal stature,,201,,,,,,,,,,18,5.02,14,3114,,1028,,,,,1198,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr106-21ssc,,202,,,,,,,,,,17,5.446,17,2742,,1212,,,,,1208,,,,,,,,,
st paul,harvest,10/21/2025,short,PR106-20ssc,,203,,,,,,,,,,17,5.336,17,3322,,824,,,,,976,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr105-20ssc,,204,,,,,,,,,,18,5.83,14,2354,,1296,,,,,808,,,,,,,,,
st paul,harvest,10/21/2025,tall,206-47vt4prib,,205,,,,,,,,,,21,6.134,22,3454,,830,,,,,874,,,,,,,,,
st paul,harvest,10/21/2025,medium,Dkc101-33rib,,206,,,,,,,,,,17,5.474,17,2990,,1146,,,,,842,,,,,,,,,
st paul,harvest,10/21/2025,medium short,Dkc098-88rib,,207,,,,,,,,,,12,5.136,12,2670,,1202,,,,,1086,,,,,,,,,
st paul,harvest,10/21/2025,conventional,check normal stature,,301,,,,,,,,,,15,4.994,14,3096,,1220,,,,,1070,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr106-21ssc,,302,,,,,,,,,,19,5.526,16,2964,,1066,,,,,856,,,,,,,,,
st paul,harvest,10/21/2025,short,PR106-20ssc,,303,,,,,,,,,,18,5.414,16,2982,,882,,,,,876,,,,,,,,,
st paul,harvest,10/21/2025,short,Pr105-20ssc,,304,,,,,,,,,,17,4.292,14,2514,,804,,,,,868,,,,,,,,,
st paul,harvest,10/21/2025,tall,206-47vt4prib,,305,,,,,,,,,,21,5.472,17,2408,,1068,,,,,642,,,,,,,,,
st paul,harvest,10/21/2025,medium,Dkc101-33rib,,306,,,,,,,,,,18,5.696,15,2794,,1216,,,,,916,,,,,,,,,
st paul,harvest,10/21/2025,medium short,Dkc098-88rib,,307,,,,,,,,,,15,5.294,14,2690,,822,,,,,930,,,,,,,,,
